key,es,en

menu_resume,"Reanudar","Resume"

menu_restart,"Reiniciar","Restart"

menu_options,"Opciones","Options"

menu_quit,"Salir","Quit"

menu_back,"Volver","Back"

menu_audio,"Audio","Audio"

menu_language,"Idioma","Language"

death_message,"VAYA MALO","SKILL ISSUE?"

master_volume,"Maestro","Master"

sfx_volume,"Efectos","SFX"

music_volume,"Música","Music"

apply_settings,"Aplicar","Apply"

menu_select_language,"Seleccionar Idioma","Select Language"

menu_language_en,"Inglés","English"

menu_language_es,"Español","Spanish"

mouse_warning,"Ten cuidado, cuando reanudes el juego tu raton aparecera en su ultima posicion antes de pausar", "Be careful, when you resume the game your mouse will appear in the position it was in before pausing."

menu_start,"Empezar","Start"

menu_new_game,"Nueva Partida","New Game"

menu_continue,"Continuar","Continue"

menu_back_to_menu,"Volver al Menú","Back to Menu"

win_screen_you_win,"¡Has Escapado!","You Escaped!"

cursor_tutorial_label,"EL JUGADOR NORMALMENTE DISPARA DONDE ESTE APUNTANDO EL RATON.","THE PLAYER NORMALLY SHOOTS WHERE THE MOUSE IS POINTING."

item_tutorial_label,"PARA OBTENER UN OBJETO ES TAN SENCILLO COMO ACERCARTE A EL Y, ¡BUM!, YA LO HAS AGARRADO.","TO GET AN ITEM IT'S AS SIMPLE AS GETTING CLOSE TO IT AND, BAM!, YOU'VE GOT IT."

weapon_change_tutorial_label,"PARA CAMBIAR DE ARMA, PULSA LA TECLA 'Q'.","TO CHANGE WEAPON, PRESS THE 'Q' KEY."

abilities_tutorial_label,"LAS HABILIDADES SE PUEDEN CONSEGUIR A TRAVES DE OBJETOS. PUEDEN CARGARSE TANTO POR TIEMPO O TENER UN USO LIMITADO. PARA USAR UNA HABILDAD HAY QUE PULSAR LA TECLA 'ESPACIO'.","ABILITIES CAN BE OBTAINED THROUGH ITEMS. THEY CAN BE CHARGED EITHER BY TIME OR HAVE A LIMITED USE. TO USE AN ABILITY YOU HAVE TO PRESS THE 'SPACE' KEY."
